,35597.00,-161.00
1000.00,269.00,-195944.00,731.00,-195944.00,731.00
1000.00,268.00,-198135.00,732.00,-198135.00,732.00
1000.00,269.00,-200333.00,731.00,-200333.00,731.00
1000.00,268.00,-202524.00,732.00,-202524.00,732.00
1000.00,268.00,-204720.00,732.00,-204720.00,732.00
1000.00,269.00,-206918.00,731.00,-206918.00,731.00
1000.00,269.00,-209111.00,731.00,-209111.00,731.00
1000.00,269.00,-211304.00,731.00,-211304.00,731.00
1000.00,267.00,-213493.00,733.00,-213493.00,733.00
1000.00,269.00,-215696.00,731.00,-215696.00,731.00
1000.00,268.00,-217887.00,732.00,-217887.00,732.00
1000.00,270.00,-220087.00,730.00,-220087.00,730.00
1000.00,270.00,-222277.00,730.00,-222277.00,730.00
1000.00,269.00,-224465.00,731.00,-224465.00,731.00
1000.00,269.00,-226658.00,731.00,-226658.00,731.00
1000.00,268.00,-228849.00,732.00,-228849.00,732.00
1000.00,266.00,-231041.00,734.00,-231041.00,734.00
1000.00,270.00,-233251.00,730.00,-233251.00,730.00
1000.00,269.00,-235439.00,731.00,-235439.00,731.00
1000.00,269.00,-237632.00,731.00,-237632.00,731.00
1000.00,269.00,-239825.00,731.00,-239825.00,731.00
1000.00,268.00,-242016.00,732.00,-242016.00,732.00
1000.00,269.00,-244214.00,731.00,-244214.00,731.00
1000.00,269.00,-246407.00,731.00,-246407.00,731.00
1000.00,269.00,-248600.00,731.00,-248600.00,731.00
1000.00,269.00,-250793.00,731.00,-250793.00,731.00
1000.00,270.00,-252988.00,730.00,-252988.00,730.00
1000.00,268.00,-255174.00,732.00,-255174.00,732.00
1000.00,269.00,-257372.00,731.00,-257372.00,731.00
1000.00,268.00,-259563.00,732.00,-259563.00,732.00
1000.00,269.00,-261761.00,731.00,-261761.00,731.00
1000.00,269.00,-263954.00,731.00,-263954.00,731.00
1000.00,270.00,-266149.00,730.00,-266149.00,730.00
1000.00,268.00,-268335.00,732.00,-268335.00,732.00
1000.00,269.00,-270533.00,731.00,-270533.00,731.00
1000.00,268.00,-272724.00,732.00,-272724.00,732.00
1000.00,269.00,-274922.00,731.00,-274922.00,731.00
1000.00,269.00,-277115.00,731.00,-277115.00,731.00
1000.00,269.00,-279308.00,731.00,-279308.00,731.00
1000.00,269.00,-281501.00,731.00,-281501.00,731.00
1000.00,269.00,-283694.00,731.00,-283694.00,731.00
1000.00,268.00,-285885.00,732.00,-285885.00,732.00
1000.00,269.00,-288083.00,731.00,-288083.00,731.00
1000.00,268.00,-290274.00,732.00,-290274.00,732.00
1000.00,268.00,-292470.00,732.00,-292470.00,732.00
1000.00,269.00,-294668.00,731.00,-294668.00,731.00
1000.00,269.00,-296861.00,731.00,-296861.00,731.00
1000.00,269.00,-299054.00,731.00,-299054.00,731.00
1000.00,269.00,-301247.00,731.00,-301247.00,731.00
1000.00,269.00,-303440.00,731.00,-303440.00,731.00
1000.00,266.00,-305627.00,734.00,-305627.00,734.00
1000.00,269.00,-307835.00,731.00,-307835.00,731.00
1000.00,268.00,-310026.00,732.00,-310026.00,732.00
1000.00,269.00,-312224.00,731.00,-312224.00,731.00
1000.00,269.00,-314417.00,731.00,-314417.00,731.00
1000.00,270.00,-316612.00,730.00,-316612.00,730.00
1000.00,268.00,-318798.00,732.00,-318798.00,732.00
1000.00,270.00,-320998.00,730.00,-320998.00,730.00
1000.00,269.00,-323186.00,731.00,-323186.00,731.00
1000.00,268.00,-325377.00,732.00,-325377.00,732.00
1000.00,269.00,-327575.00,731.00,-327575.00,731.00
1000.00,270.00,-329770.00,730.00,-329770.00,730.00
1000.00,269.00,-331958.00,731.00,-331958.00,731.00
1000.00,269.00,-334151.00,731.00,-334151.00,731.00
1000.00,269.00,-336344.00,731.00,-336344.00,731.00
1000.00,268.00,-338535.00,732.00,-338535.00,732.00
1000.00,269.00,-340733.00,731.00,-340733.00,731.00
