milliseconds,null,Input,null,null,null,(null = no Control)
239280,1000.00,548.00,-57852494.00,452.00,-57852494.00,452.00
239285,1000.00,550.00,-57853854.00,450.00,-57853854.00,450.00
239290,1000.00,551.00,-57855206.00,449.00,-57855206.00,449.00
239296,1000.00,551.00,-57856553.00,449.00,-57856553.00,449.00
239301,1000.00,552.00,-57857902.00,448.00,-57857902.00,448.00
239307,1000.00,548.00,-57859238.00,452.00,-57859238.00,452.00
239312,1000.00,551.00,-57860600.00,449.00,-57860600.00,449.00
239317,1000.00,551.00,-57861947.00,449.00,-57861947.00,449.00
239323,1000.00,548.00,-57863288.00,452.00,-57863288.00,452.00
239328,1000.00,551.00,-57864650.00,449.00,-57864650.00,449.00
239334,1000.00,548.00,-57865991.00,452.00,-57865991.00,452.00
239339,1000.00,550.00,-57867351.00,450.00,-57867351.00,450.00
239344,1000.00,551.00,-57868703.00,449.00,-57868703.00,449.00
239350,1000.00,552.00,-57870052.00,448.00,-57870052.00,448.00
239355,1000.00,551.00,-57871394.00,449.00,-57871394.00,449.00
239361,1000.00,548.00,-57872735.00,452.00,-57872735.00,452.00
239366,1000.00,553.00,-57874101.00,447.00,-57874101.00,447.00
239371,1000.00,552.00,-57875440.00,448.00,-57875440.00,448.00
239377,1000.00,549.00,-57876778.00,451.00,-57876778.00,451.00
239382,1000.00,552.00,-57878137.00,448.00,-57878137.00,448.00
239388,1000.00,547.00,-57879471.00,453.00,-57879471.00,453.00
239393,1000.00,550.00,-57880836.00,450.00,-57880836.00,450.00
239398,1000.00,549.00,-57882184.00,451.00,-57882184.00,451.00
239404,1000.00,553.00,-57883545.00,447.00,-57883545.00,447.00
239409,1000.00,552.00,-57884884.00,448.00,-57884884.00,448.00
239415,1000.00,550.00,-57886224.00,450.00,-57886224.00,450.00
239420,1000.00,549.00,-57887572.00,451.00,-57887572.00,451.00
239425,1000.00,553.00,-57888933.00,447.00,-57888933.00,447.00
239431,1000.00,550.00,-57890268.00,450.00,-57890268.00,450.00
239436,1000.00,551.00,-57891620.00,449.00,-57891620.00,449.00
239442,1000.00,550.00,-57892965.00,450.00,-57892965.00,450.00
239447,1000.00,552.00,-57894319.00,448.00,-57894319.00,448.00
239452,1000.00,552.00,-57895663.00,448.00,-57895663.00,448.00
239458,1000.00,550.00,-57897003.00,450.00,-57897003.00,450.00
239463,1000.00,552.00,-57898357.00,448.00,-57898357.00,448.00
239469,1000.00,550.00,-57899697.00,450.00,-57899697.00,450.00
239474,1000.00,551.00,-57901049.00,449.00,-57901049.00,449.00
239479,1000.00,552.00,-57902398.00,448.00,-57902398.00,448.00
239485,1000.00,551.00,-57903740.00,449.00,-57903740.00,449.00
239490,1000.00,550.00,-57905085.00,450.00,-57905085.00,450.00
239496,1000.00,548.00,-57906431.00,452.00,-57906431.00,452.00
239501,1000.00,551.00,-57907793.00,449.00,-57907793.00,449.00
239506,1000.00,552.00,-57909142.00,448.00,-57909142.00,448.00
239512,1000.00,550.00,-57910482.00,450.00,-57910482.00,450.00
239517,1000.00,551.00,-57911834.00,449.00,-57911834.00,449.00
239523,1000.00,548.00,-57913175.00,452.00,-57913175.00,452.00
239528,1000.00,551.00,-57914537.00,449.00,-57914537.00,449.00
239533,1000.00,552.00,-57915886.00,448.00,-57915886.00,448.00
239539,1000.00,548.00,-57917222.00,452.00,-57917222.00,452.00
239544,1000.00,549.00,-57918580.00,451.00,-57918580.00,451.00
239550,1000.00,548.00,-57919931.00,452.00,-57919931.00,452.00
239555,1000.00,550.00,-57921291.00,450.00,-57921291.00,450.00
239560,1000.00,549.00,-57922639.00,451.00,-57922639.00,451.00
239566,1000.00,550.00,-57923994.00,450.00,-57923994.00,450.00
239571,1000.00,548.00,-57925340.00,452.00,-57925340.00,452.00
239577,1000.00,549.00,-57926698.00,451.00,-57926698.00,451.00
239582,1000.00,548.00,-57928049.00,452.00,-57928049.00,452.00
239587,1000.00,551.00,-57929411.00,449.00,-57929411.00,449.00
239593,1000.00,550.00,-57930756.00,450.00,-57930756.00,450.00
239598,1000.00,548.00,-57932102.00,452.00,-57932102.00,452.00
239604,1000.00,549.00,-57933460.00,451.00,-57933460.00,451.00
239609,1000.00,551.00,-57934817.00,449.00,-57934817.00,449.00
239614,1000.00,552.00,-57936166.00,448.00,-57936166.00,448.00
239620,1000.00,551.00,-57937508.00,449.00,-57937508.00,449.00
239625,1000.00,548.00,-57938849.00,452.00,-57938849.00,452.00
239631,1000.00,551.00,-57940211.00,449.00,-57940211.00,449.00
239636,1000.00,549.00,-57941554.00,451.00,-57941554.00,451.00
239641,1000.00,550.00,-57942909.00,450.00,-57942909.00,450.00
239647,1000.00,551.00,-57944261.00,449.00,-57944261.00,449.00
239652,1000.00,550.00,-57945606.00,450.00,-57945606.00,450.00
239658,1000.00,549.00,-57946954.00,451.00,-57946954.00,451.00
239663,1000.00,550.00,-57948309.00,450.00,-57948309.00,450.00
239668,1000.00,550.00,-57949659.00,450.00,-57949659.00,450.00
239674,1000.00,551.00,-57951011.00,449.00,-57951011.00,449.00
239679,1000.00,552.00,-57952360.00,448.00,-57952360.00,448.00
239685,1000.00,551.00,-57953702.00,449.00,-57953702.00,449.00
239690,1000.00,549.00,-57955045.00,451.00,-57955045.00,451.00
