milliseconds,null,Input,null,null,null,(null = no Control)
244442,1000.00,564.00,-59119561.00,436.00,-59119561.00,436.00
244447,1000.00,565.00,-59120871.00,435.00,-59120871.00,435.00
244453,1000.00,566.00,-59122178.00,434.00,-59122178.00,434.00
244458,1000.00,564.00,-59123476.00,436.00,-59123476.00,436.00
244464,1000.00,560.00,-59124776.00,440.00,-59124776.00,440.00
244469,1000.00,567.00,-59126110.00,433.00,-59126110.00,433.00
244474,1000.00,568.00,-59127411.00,432.00,-59127411.00,432.00
244480,1000.00,564.00,-59128699.00,436.00,-59128699.00,436.00
244485,1000.00,563.00,-59130005.00,437.00,-59130005.00,437.00
244491,1000.00,564.00,-59131318.00,436.00,-59131318.00,436.00
244496,1000.00,562.00,-59132622.00,438.00,-59132622.00,438.00
244501,1000.00,566.00,-59133944.00,434.00,-59133944.00,434.00
244507,1000.00,564.00,-59135242.00,436.00,-59135242.00,436.00
244512,1000.00,561.00,-59136544.00,439.00,-59136544.00,439.00
244518,1000.00,565.00,-59137869.00,435.00,-59137869.00,435.00
244523,1000.00,567.00,-59139178.00,433.00,-59139178.00,433.00
244528,1000.00,567.00,-59140477.00,433.00,-59140477.00,433.00
244534,1000.00,565.00,-59141772.00,435.00,-59141772.00,435.00
244539,1000.00,563.00,-59143073.00,437.00,-59143073.00,437.00
244545,1000.00,562.00,-59144382.00,438.00,-59144382.00,438.00
244550,1000.00,562.00,-59145696.00,438.00,-59145696.00,438.00
244555,1000.00,563.00,-59147012.00,437.00,-59147012.00,437.00
244561,1000.00,561.00,-59148319.00,439.00,-59148319.00,439.00
244566,1000.00,563.00,-59149640.00,437.00,-59149640.00,437.00
244572,1000.00,561.00,-59150947.00,439.00,-59150947.00,439.00
244577,1000.00,564.00,-59152270.00,436.00,-59152270.00,436.00
244582,1000.00,560.00,-59153570.00,440.00,-59153570.00,440.00
244588,1000.00,564.00,-59154898.00,436.00,-59154898.00,436.00
244593,1000.00,563.00,-59156204.00,437.00,-59156204.00,437.00
244599,1000.00,563.00,-59157515.00,437.00,-59157515.00,437.00
244604,1000.00,564.00,-59158828.00,436.00,-59158828.00,436.00
244609,1000.00,563.00,-59160134.00,437.00,-59160134.00,437.00
244615,1000.00,566.00,-59161451.00,434.00,-59161451.00,434.00
244620,1000.00,566.00,-59162753.00,434.00,-59162753.00,434.00
244626,1000.00,562.00,-59164047.00,438.00,-59164047.00,438.00
244631,1000.00,563.00,-59165363.00,437.00,-59165363.00,437.00
244636,1000.00,564.00,-59166676.00,436.00,-59166676.00,436.00
244642,1000.00,564.00,-59167984.00,436.00,-59167984.00,436.00
244647,1000.00,565.00,-59169294.00,435.00,-59169294.00,435.00
244653,1000.00,561.00,-59170591.00,439.00,-59170591.00,439.00
244658,1000.00,565.00,-59171916.00,435.00,-59171916.00,435.00
244663,1000.00,567.00,-59173225.00,433.00,-59173225.00,433.00
244669,1000.00,564.00,-59174518.00,436.00,-59174518.00,436.00
244674,1000.00,561.00,-59175820.00,439.00,-59175820.00,439.00
244680,1000.00,563.00,-59177141.00,437.00,-59177141.00,437.00
244685,1000.00,564.00,-59178454.00,436.00,-59178454.00,436.00
244690,1000.00,564.00,-59179762.00,436.00,-59179762.00,436.00
244696,1000.00,564.00,-59181070.00,436.00,-59181070.00,436.00
244701,1000.00,562.00,-59182374.00,438.00,-59182374.00,438.00
244707,1000.00,562.00,-59183688.00,438.00,-59183688.00,438.00
244712,1000.00,564.00,-59185006.00,436.00,-59185006.00,436.00
244717,1000.00,562.00,-59186310.00,438.00,-59186310.00,438.00
244723,1000.00,562.00,-59187624.00,438.00,-59187624.00,438.00
244728,1000.00,565.00,-59188944.00,435.00,-59188944.00,435.00
244734,1000.00,561.00,-59190241.00,439.00,-59190241.00,439.00
244739,1000.00,567.00,-59191570.00,433.00,-59191570.00,433.00
244744,1000.00,566.00,-59192867.00,434.00,-59192867.00,434.00
244750,1000.00,562.00,-59194161.00,438.00,-59194161.00,438.00
244755,1000.00,565.00,-59195481.00,435.00,-59195481.00,435.00
244761,1000.00,565.00,-59196786.00,435.00,-59196786.00,435.00
244766,1000.00,564.00,-59198089.00,436.00,-59198089.00,436.00
244771,1000.00,557.00,-59199383.00,443.00,-59199383.00,443.00
244777,1000.00,565.00,-59200728.00,435.00,-59200728.00,435.00
244782,1000.00,562.00,-59202027.00,438.00,-59202027.00,438.00
244788,1000.00,558.00,-59203333.00,442.00,-59203333.00,442.00
244793,1000.00,564.00,-59204671.00,436.00,-59204671.00,436.00
244798,1000.00,564.00,-59205979.00,436.00,-59205979.00,436.00
244804,1000.00,562.00,-59207283.00,438.00,-59207283.00,438.00
244809,1000.00,562.00,-59208597.00,438.00,-59208597.00,438.00
244815,1000.00,560.00,-59209907.00,440.00,-59209907.00,440.00
244820,1000.00,563.00,-59211233.00,437.00,-59211233.00,437.00
244825,1000.00,560.00,-59212538.00,440.00,-59212538.00,440.00
244831,1000.00,564.00,-59213866.00,436.00,-59213866.00,436.00
244836,1000.00,565.00,-59215176.00,435.00,-59215176.00,435.00
244842,1000.00,563.00,-59216477.00,437.00,-59216477.00,437.00
244847,1000.00,563.00,-59217788.00,437.00,-59217788.00,437.00
244852,1000.00,562.00,-59219097.00,438.00,-59219097.00,438.00
244858,1000.00,564.00,-59220415.00,436.00,-59220415.00,436.00
244863,1000.00,565.00,-59221725.00,435.00,-59221725.00,435.00
244869,1000.00,561.00,-59223022.00,439.00,-59223022.00,439.00
244874,1000.00,562.00,-59224341.00,438.00,-59224341.00,438.00
244879,1000.00,562.00,-59225655.00,438.00,-59225655.00,438.00
244885,1000.00,563.00,-59226971.00,437.00,-59226971.00,437.00
244890,1000.00,565.00,-59228286.00,435.00,-59228286.00,435.00
244896,1000.00,565.00,-59229591.00,435.00,-59229591.00,435.00
244901,1000.00,564.00,-59230894.00,436.00,-59230894.00,436.00
244906,1000.00,566.00,-59232206.00,434.00,-59232206.00,434.00
244912,1000.00,567.00,-59233510.00,433.00,-59233510.00,433.00
244917,1000.00,565.00,-59234805.00,435.00,-59234805.00,435.00
244923,1000.00,562.00,-59236104.00,438.00,-59236104.00,438.00
244928,1000.00,559.00,-59237412.00,441.00,-59237412.00,441.00
244933,1000.00,563.00,-59238743.00,437.00,-59238743.00,437.00
244939,1000.00,565.00,-59240058.00,435.00,-59240058.00,435.00
244944,1000.00,565.00,-59241363.00,435.00,-59241363.00,435.00
244950,1000.00,561.00,-59242660.00,439.00,-59242660.00,439.00
244955,1000.00,555.00,-59243965.00,445.00,-59243965.00,445.00
244960,1000.00,555.00,-59245300.00,445.00,-59245300.00,445.00
244966,1000.00,548.00,-59246621.00,452.00,-59246621.00,452.00
244971,1000.00,549.00,-59247979.00,451.00,-59247979.00,451.00
244977,1000.00,546.00,-59249326.00,454.00,-59249326.00,454.00
244982,1000.00,547.00,-59250690.00,453.00,-59250690.00,453.00
244987,1000.00,549.00,-59252053.00,451.00,-59252053.00,451.00
244993,1000.00,546.00,-59253400.00,454.00,-59253400.00,454.00
244998,1000.00,547.00,-59254764.00,453.00,-59254764.00,453.00
245004,1000.00,545.00,-59256119.00,455.00,-59256119.00,455.00
245009,1000.00,546.00,-59257486.00,454.00,-59257486.00,454.00
245014,1000.00,549.00,-59258854.00,451.00,-59258854.00,451.00
245020,1000.00,547.00,-59260203.00,453.00,-59260203.00,453.00
245025,1000.00,548.00,-59261564.00,452.00,-59261564.00,452.00
245031,1000.00,545.00,-59262914.00,455.00,-59262914.00,455.00
245036,1000.00,549.00,-59264287.00,451.00,-59264287.00,451.00
245041,1000.00,549.00,-59265640.00,451.00,-59265640.00,451.00
245047,1000.00,546.00,-59266987.00,454.00,-59266987.00,454.00
245052,1000.00,546.00,-59268349.00,454.00,-59268349.00,454.00
245058,1000.00,543.00,-59269705.00,457.00,-59269705.00,457.00
245063,1000.00,544.00,-59271078.00,456.00,-59271078.00,456.00
245068,1000.00,547.00,-59272452.00,453.00,-59272452.00,453.00
245074,1000.00,548.00,-59273813.00,452.00,-59273813.00,452.00
245079,1000.00,548.00,-59275169.00,452.00,-59275169.00,452.00
245085,1000.00,543.00,-59276515.00,457.00,-59276515.00,457.00
245090,1000.00,551.00,-59277902.00,449.00,-59277902.00,449.00
245095,1000.00,547.00,-59279241.00,453.00,-59279241.00,453.00
245101,1000.00,545.00,-59280596.00,455.00,-59280596.00,455.00
245106,1000.00,544.00,-59281959.00,456.00,-59281959.00,456.00
245112,1000.00,543.00,-59283325.00,457.00,-59283325.00,457.00
245117,1000.00,547.00,-59284704.00,453.00,-59284704.00,453.00
245122,1000.00,548.00,-59286065.00,452.00,-59286065.00,452.00
245128,1000.00,547.00,-59287419.00,453.00,-59287419.00,453.00
245133,1000.00,546.00,-59288776.00,454.00,-59288776.00,454.00
245139,1000.00,549.00,-59290144.00,451.00,-59290144.00,451.00
245144,1000.00,549.00,-59291497.00,451.00,-59291497.00,451.00
245149,1000.00,549.00,-59292850.00,451.00,-59292850.00,451.00
245155,1000.00,548.00,-59294201.00,452.00,-59294201.00,452.00
245160,1000.00,550.00,-59295561.00,450.00,-59295561.00,450.00
245166,1000.00,545.00,-59296901.00,455.00,-59296901.00,455.00
245171,1000.00,548.00,-59298272.00,452.00,-59298272.00,452.00
245176,1000.00,548.00,-59299628.00,452.00,-59299628.00,452.00
245182,1000.00,546.00,-59300980.00,454.00,-59300980.00,454.00
245187,1000.00,547.00,-59302344.00,453.00,-59302344.00,453.00
245193,1000.00,546.00,-59303701.00,454.00,-59303701.00,454.00
245198,1000.00,547.00,-59305065.00,453.00,-59305065.00,453.00
245203,1000.00,547.00,-59306424.00,453.00,-59306424.00,453.00
245209,1000.00,548.00,-59307785.00,452.00,-59307785.00,452.00
245214,1000.00,547.00,-59309139.00,453.00,-59309139.00,453.00
245220,1000.00,545.00,-59310494.00,455.00,-59310494.00,455.00
245225,1000.00,551.00,-59311871.00,449.00,-59311871.00,449.00
245230,1000.00,546.00,-59313208.00,454.00,-59313208.00,454.00
245236,1000.00,544.00,-59314566.00,456.00,-59314566.00,456.00
245241,1000.00,546.00,-59315938.00,454.00,-59315938.00,454.00
245247,1000.00,546.00,-59317300.00,454.00,-59317300.00,454.00
245252,1000.00,548.00,-59318666.00,452.00,-59318666.00,452.00
245257,1000.00,548.00,-59320022.00,452.00,-59320022.00,452.00
245263,1000.00,545.00,-59321372.00,455.00,-59321372.00,455.00
245268,1000.00,548.00,-59322743.00,452.00,-59322743.00,452.00
245274,1000.00,545.00,-59324093.00,455.00,-59324093.00,455.00
245279,1000.00,548.00,-59325464.00,452.00,-59325464.00,452.00
245284,1000.00,549.00,-59326822.00,451.00,-59326822.00,451.00
245290,1000.00,546.00,-59328169.00,454.00,-59328169.00,454.00
245295,1000.00,546.00,-59329531.00,454.00,-59329531.00,454.00
245301,1000.00,545.00,-59330891.00,455.00,-59330891.00,455.00
245306,1000.00,544.00,-59332254.00,456.00,-59332254.00,456.00
245311,1000.00,548.00,-59333630.00,452.00,-59333630.00,452.00
245317,1000.00,547.00,-59334984.00,453.00,-59334984.00,453.00
245322,1000.00,551.00,-59336351.00,449.00,-59336351.00,449.00
245328,1000.00,549.00,-59337694.00,451.00,-59337694.00,451.00
245333,1000.00,547.00,-59339043.00,453.00,-59339043.00,453.00
245338,1000.00,548.00,-59340404.00,452.00,-59340404.00,452.00
245344,1000.00,550.00,-59341764.00,450.00,-59341764.00,450.00
245349,1000.00,549.00,-59343112.00,451.00,-59343112.00,451.00
245355,1000.00,546.00,-59344459.00,454.00,-59344459.00,454.00
245360,1000.00,548.00,-59345825.00,452.00,-59345825.00,452.00
245365,1000.00,549.00,-59347183.00,451.00,-59347183.00,451.00
245371,1000.00,549.00,-59348536.00,451.00,-59348536.00,451.00
245376,1000.00,548.00,-59349887.00,452.00,-59349887.00,452.00
245382,1000.00,545.00,-59351237.00,455.00,-59351237.00,455.00
245387,1000.00,548.00,-59352608.00,452.00,-59352608.00,452.00
245392,1000.00,550.00,-59353968.00,450.00,-59353968.00,450.00
245398,1000.00,546.00,-59355310.00,454.00,-59355310.00,454.00
245403,1000.00,548.00,-59356676.00,452.00,-59356676.00,452.00
245409,1000.00,544.00,-59358024.00,456.00,-59358024.00,456.00
245414,1000.00,547.00,-59359398.00,453.00,-59359398.00,453.00
245419,1000.00,556.00,-59360775.00,444.00,-59360775.00,444.00
245425,1000.00,551.00,-59362097.00,449.00,-59362097.00,449.00
245430,1000.00,550.00,-59363442.00,450.00,-59363442.00,450.00
245436,1000.00,549.00,-59364790.00,451.00,-59364790.00,451.00
245441,1000.00,549.00,-59366143.00,451.00,-59366143.00,451.00
245446,1000.00,549.00,-59367496.00,451.00,-59367496.00,451.00
245452,1000.00,550.00,-59368851.00,450.00,-59368851.00,450.00
245457,1000.00,550.00,-59370201.00,450.00,-59370201.00,450.00
245463,1000.00,546.00,-59371543.00,454.00,-59371543.00,454.00
245468,1000.00,547.00,-59372907.00,453.00,-59372907.00,453.00
245473,1000.00,549.00,-59374270.00,451.00,-59374270.00,451.00
245479,1000.00,548.00,-59375621.00,452.00,-59375621.00,452.00
245484,1000.00,549.00,-59376979.00,451.00,-59376979.00,451.00
245490,1000.00,548.00,-59378330.00,452.00,-59378330.00,452.00
245495,1000.00,547.00,-59379684.00,453.00,-59379684.00,453.00
245500,1000.00,548.00,-59381045.00,452.00,-59381045.00,452.00
245506,1000.00,551.00,-59382407.00,449.00,-59382407.00,449.00
245511,1000.00,549.00,-59383750.00,451.00,-59383750.00,451.00
245517,1000.00,549.00,-59385103.00,451.00,-59385103.00,451.00
245522,1000.00,549.00,-59386456.00,451.00,-59386456.00,451.00
245527,1000.00,545.00,-59387801.00,455.00,-59387801.00,455.00
245533,1000.00,547.00,-59389170.00,453.00,-59389170.00,453.00
245538,1000.00,548.00,-59390531.00,452.00,-59390531.00,452.00
245544,1000.00,544.00,-59391879.00,456.00,-59391879.00,456.00
245549,1000.00,548.00,-59393255.00,452.00,-59393255.00,452.00
245554,1000.00,546.00,-59394607.00,454.00,-59394607.00,454.00
245560,1000.00,549.00,-59395975.00,451.00,-59395975.00,451.00
245565,1000.00,549.00,-59397328.00,451.00,-59397328.00,451.00
245571,1000.00,546.00,-59398675.00,454.00,-59398675.00,454.00
245576,1000.00,548.00,-59400041.00,452.00,-59400041.00,452.00
245581,1000.00,547.00,-59401395.00,453.00,-59401395.00,453.00
245587,1000.00,549.00,-59402758.00,451.00,-59402758.00,451.00
245592,1000.00,546.00,-59404105.00,454.00,-59404105.00,454.00
245598,1000.00,545.00,-59405465.00,455.00,-59405465.00,455.00
245603,1000.00,549.00,-59406838.00,451.00,-59406838.00,451.00
245608,1000.00,549.00,-59408191.00,451.00,-59408191.00,451.00
245614,1000.00,551.00,-59409548.00,449.00,-59409548.00,449.00
245619,1000.00,548.00,-59410889.00,452.00,-59410889.00,452.00
245625,1000.00,546.00,-59412241.00,454.00,-59412241.00,454.00
245630,1000.00,547.00,-59413605.00,453.00,-59413605.00,453.00
245635,1000.00,547.00,-59414964.00,453.00,-59414964.00,453.00
245641,1000.00,550.00,-59416329.00,450.00,-59416329.00,450.00
245646,1000.00,546.00,-59417671.00,454.00,-59417671.00,454.00
245652,1000.00,546.00,-59419033.00,454.00,-59419033.00,454.00
245657,1000.00,549.00,-59420401.00,451.00,-59420401.00,451.00
245662,1000.00,548.00,-59421752.00,452.00,-59421752.00,452.00
245668,1000.00,548.00,-59423108.00,452.00,-59423108.00,452.00
245673,1000.00,549.00,-59424466.00,451.00,-59424466.00,451.00
245679,1000.00,547.00,-59425815.00,453.00,-59425815.00,453.00
245684,1000.00,548.00,-59427176.00,452.00,-59427176.00,452.00
245689,1000.00,550.00,-59428536.00,450.00,-59428536.00,450.00
245695,1000.00,549.00,-59429884.00,451.00,-59429884.00,451.00
245700,1000.00,547.00,-59431233.00,453.00,-59431233.00,453.00
245706,1000.00,547.00,-59432592.00,453.00,-59432592.00,453.00
245711,1000.00,550.00,-59433957.00,450.00,-59433957.00,450.00
245716,1000.00,545.00,-59435297.00,455.00,-59435297.00,455.00
245722,1000.00,549.00,-59436670.00,451.00,-59436670.00,451.00
245727,1000.00,550.00,-59438025.00,450.00,-59438025.00,450.00
245733,1000.00,545.00,-59439365.00,455.00,-59439365.00,455.00
245738,1000.00,555.00,-59440750.00,445.00,-59440750.00,445.00
245743,1000.00,550.00,-59442075.00,450.00,-59442075.00,450.00
245749,1000.00,545.00,-59443415.00,455.00,-59443415.00,455.00
245754,1000.00,550.00,-59444790.00,450.00,-59444790.00,450.00
245760,1000.00,544.00,-59446128.00,456.00,-59446128.00,456.00
245765,1000.00,549.00,-59447506.00,451.00,-59447506.00,451.00
245770,1000.00,550.00,-59448861.00,450.00,-59448861.00,450.00
245776,1000.00,551.00,-59450213.00,449.00,-59450213.00,449.00
245781,1000.00,550.00,-59451558.00,450.00,-59451558.00,450.00
245787,1000.00,547.00,-59452902.00,453.00,-59452902.00,453.00
245792,1000.00,550.00,-59454267.00,450.00,-59454267.00,450.00
245797,1000.00,548.00,-59455613.00,452.00,-59455613.00,452.00
245803,1000.00,547.00,-59456967.00,453.00,-59456967.00,453.00
245808,1000.00,549.00,-59458330.00,451.00,-59458330.00,451.00
245814,1000.00,547.00,-59459679.00,453.00,-59459679.00,453.00
245819,1000.00,547.00,-59461038.00,453.00,-59461038.00,453.00
245824,1000.00,553.00,-59462409.00,447.00,-59462409.00,447.00
245830,1000.00,551.00,-59463746.00,449.00,-59463746.00,449.00
245835,1000.00,549.00,-59465089.00,451.00,-59465089.00,451.00
245841,1000.00,546.00,-59466436.00,454.00,-59466436.00,454.00
245846,1000.00,549.00,-59467804.00,451.00,-59467804.00,451.00
245851,1000.00,548.00,-59469155.00,452.00,-59469155.00,452.00
245857,1000.00,546.00,-59470507.00,454.00,-59470507.00,454.00
245862,1000.00,548.00,-59471873.00,452.00,-59471873.00,452.00
245868,1000.00,546.00,-59473225.00,454.00,-59473225.00,454.00
245873,1000.00,547.00,-59474589.00,453.00,-59474589.00,453.00
245878,1000.00,549.00,-59475952.00,451.00,-59475952.00,451.00
245884,1000.00,548.00,-59477303.00,452.00,-59477303.00,452.00
245889,1000.00,550.00,-59478663.00,450.00,-59478663.00,450.00
245895,1000.00,546.00,-59480005.00,454.00,-59480005.00,454.00
245900,1000.00,548.00,-59481371.00,452.00,-59481371.00,452.00
245905,1000.00,548.00,-59482727.00,452.00,-59482727.00,452.00
245911,1000.00,550.00,-59484087.00,450.00,-59484087.00,450.00
245916,1000.00,547.00,-59485431.00,453.00,-59485431.00,453.00
245922,1000.00,548.00,-59486792.00,452.00,-59486792.00,452.00
245927,1000.00,547.00,-59488146.00,453.00,-59488146.00,453.00
245932,1000.00,547.00,-59489505.00,453.00,-59489505.00,453.00
245938,1000.00,549.00,-59490868.00,451.00,-59490868.00,451.00
245943,1000.00,550.00,-59492223.00,450.00,-59492223.00,450.00
245949,1000.00,545.00,-59493563.00,455.00,-59493563.00,455.00
245954,1000.00,551.00,-59494940.00,449.00,-59494940.00,449.00
245959,1000.00,544.00,-59496273.00,456.00,-59496273.00,456.00
245965,1000.00,548.00,-59497649.00,452.00,-59497649.00,452.00
245970,1000.00,550.00,-59499009.00,450.00,-59499009.00,450.00
245976,1000.00,548.00,-59500355.00,452.00,-59500355.00,452.00
245981,1000.00,549.00,-59501713.00,451.00,-59501713.00,451.00
245986,1000.00,548.00,-59503064.00,452.00,-59503064.00,452.00
245992,1000.00,545.00,-59504414.00,455.00,-59504414.00,455.00
245997,1000.00,550.00,-59505789.00,450.00,-59505789.00,450.00
246003,1000.00,547.00,-59507133.00,453.00,-59507133.00,453.00
246008,1000.00,550.00,-59508498.00,450.00,-59508498.00,450.00
246013,1000.00,547.00,-59509842.00,453.00,-59509842.00,453.00
246019,1000.00,546.00,-59511199.00,454.00,-59511199.00,454.00
246024,1000.00,549.00,-59512567.00,451.00,-59512567.00,451.00
246030,1000.00,545.00,-59513912.00,455.00,-59513912.00,455.00
246035,1000.00,548.00,-59515283.00,452.00,-59515283.00,452.00
246040,1000.00,550.00,-59516643.00,450.00,-59516643.00,450.00
246046,1000.00,548.00,-59517989.00,452.00,-59517989.00,452.00
246051,1000.00,548.00,-59519345.00,452.00,-59519345.00,452.00
246057,1000.00,546.00,-59520697.00,454.00,-59520697.00,454.00
246062,1000.00,546.00,-59522059.00,454.00,-59522059.00,454.00
246067,1000.00,549.00,-59523427.00,451.00,-59523427.00,451.00
246073,1000.00,547.00,-59524776.00,453.00,-59524776.00,453.00
246078,1000.00,546.00,-59526133.00,454.00,-59526133.00,454.00
246084,1000.00,549.00,-59527501.00,451.00,-59527501.00,451.00
246089,1000.00,550.00,-59528856.00,450.00,-59528856.00,450.00
246094,1000.00,550.00,-59530206.00,450.00,-59530206.00,450.00
246100,1000.00,549.00,-59531554.00,451.00,-59531554.00,451.00
246105,1000.00,548.00,-59532905.00,452.00,-59532905.00,452.00
246111,1000.00,547.00,-59534259.00,453.00,-59534259.00,453.00
246116,1000.00,549.00,-59535622.00,451.00,-59535622.00,451.00
246121,1000.00,552.00,-59536981.00,448.00,-59536981.00,448.00
246127,1000.00,548.00,-59538317.00,452.00,-59538317.00,452.00
246132,1000.00,547.00,-59539671.00,453.00,-59539671.00,453.00
246138,1000.00,546.00,-59541028.00,454.00,-59541028.00,454.00
246143,1000.00,546.00,-59542390.00,454.00,-59542390.00,454.00
246148,1000.00,548.00,-59543756.00,452.00,-59543756.00,452.00
246154,1000.00,549.00,-59545114.00,451.00,-59545114.00,451.00
246159,1000.00,549.00,-59546467.00,451.00,-59546467.00,451.00
246165,1000.00,547.00,-59547816.00,453.00,-59547816.00,453.00
246170,1000.00,549.00,-59549179.00,451.00,-59549179.00,451.00
246175,1000.00,547.00,-59550528.00,453.00,-59550528.00,453.00
246181,1000.00,549.00,-59551891.00,451.00,-59551891.00,451.00
246186,1000.00,549.00,-59553244.00,451.00,-59553244.00,451.00
246192,1000.00,549.00,-59554597.00,451.00,-59554597.00,451.00
246197,1000.00,549.00,-59555950.00,451.00,-59555950.00,451.00
246202,1000.00,547.00,-59557299.00,453.00,-59557299.00,453.00
246208,1000.00,547.00,-59558658.00,453.00,-59558658.00,453.00
246213,1000.00,548.00,-59560019.00,452.00,-59560019.00,452.00
246219,1000.00,543.00,-59561365.00,457.00,-59561365.00,457.00
246224,1000.00,552.00,-59562754.00,448.00,-59562754.00,448.00
246229,1000.00,547.00,-59564088.00,453.00,-59564088.00,453.00
246235,1000.00,547.00,-59565447.00,453.00,-59565447.00,453.00
246240,1000.00,547.00,-59566806.00,453.00,-59566806.00,453.00
246246,1000.00,545.00,-59568161.00,455.00,-59568161.00,455.00
246251,1000.00,548.00,-59569532.00,452.00,-59569532.00,452.00
246256,1000.00,547.00,-59570886.00,453.00,-59570886.00,453.00
246262,1000.00,550.00,-59572251.00,450.00,-59572251.00,450.00
246267,1000.00,548.00,-59573597.00,452.00,-59573597.00,452.00
246273,1000.00,547.00,-59574951.00,453.00,-59574951.00,453.00
246278,1000.00,548.00,-59576312.00,452.00,-59576312.00,452.00
246283,1000.00,549.00,-59577670.00,451.00,-59577670.00,451.00
246289,1000.00,551.00,-59579027.00,449.00,-59579027.00,449.00
246294,1000.00,546.00,-59580364.00,454.00,-59580364.00,454.00
246300,1000.00,546.00,-59581726.00,454.00,-59581726.00,454.00
246305,1000.00,550.00,-59583096.00,450.00,-59583096.00,450.00
246310,1000.00,548.00,-59584442.00,452.00,-59584442.00,452.00
246316,1000.00,549.00,-59585800.00,451.00,-59585800.00,451.00
246321,1000.00,547.00,-59587149.00,453.00,-59587149.00,453.00
246327,1000.00,547.00,-59588508.00,453.00,-59588508.00,453.00
246332,1000.00,549.00,-59589871.00,451.00,-59589871.00,451.00
246337,1000.00,549.00,-59591224.00,451.00,-59591224.00,451.00
246343,1000.00,548.00,-59592575.00,452.00,-59592575.00,452.00
246348,1000.00,548.00,-59593931.00,452.00,-59593931.00,452.00
246354,1000.00,545.00,-59595281.00,455.00,-59595281.00,455.00
246359,1000.00,551.00,-59596658.00,449.00,-59596658.00,449.00
246364,1000.00,551.00,-59598005.00,449.00,-59598005.00,449.00
246370,1000.00,547.00,-59599344.00,453.00,-59599344.00,453.00
246375,1000.00,548.00,-59600705.00,452.00,-59600705.00,452.00
246381,1000.00,547.00,-59602059.00,453.00,-59602059.00,453.00
246386,1000.00,546.00,-59603416.00,454.00,-59603416.00,454.00
246391,1000.00,549.00,-59604784.00,451.00,-59604784.00,451.00
246397,1000.00,549.00,-59606137.00,451.00,-59606137.00,451.00
246402,1000.00,551.00,-59607494.00,449.00,-59607494.00,449.00
246408,1000.00,545.00,-59608829.00,455.00,-59608829.00,455.00
246413,1000.00,548.00,-59610200.00,452.00,-59610200.00,452.00
246418,1000.00,548.00,-59611556.00,452.00,-59611556.00,452.00
246424,1000.00,548.00,-59612912.00,452.00,-59612912.00,452.00
246429,1000.00,550.00,-59614272.00,450.00,-59614272.00,450.00
246435,1000.00,546.00,-59615614.00,454.00,-59615614.00,454.00
246440,1000.00,549.00,-59616982.00,451.00,-59616982.00,451.00
246445,1000.00,550.00,-59618337.00,450.00,-59618337.00,450.00
246451,1000.00,544.00,-59619675.00,456.00,-59619675.00,456.00
246456,1000.00,547.00,-59621049.00,453.00,-59621049.00,453.00
246462,1000.00,547.00,-59622408.00,453.00,-59622408.00,453.00
246467,1000.00,545.00,-59623763.00,455.00,-59623763.00,455.00
246472,1000.00,553.00,-59625144.00,447.00,-59625144.00,447.00
246478,1000.00,549.00,-59626477.00,451.00,-59626477.00,451.00
246483,1000.00,545.00,-59627822.00,455.00,-59627822.00,455.00
246489,1000.00,544.00,-59629185.00,456.00,-59629185.00,456.00
246494,1000.00,547.00,-59630559.00,453.00,-59630559.00,453.00
246499,1000.00,549.00,-59631922.00,451.00,-59631922.00,451.00
246505,1000.00,549.00,-59633275.00,451.00,-59633275.00,451.00
246510,1000.00,548.00,-59634626.00,452.00,-59634626.00,452.00
246516,1000.00,545.00,-59635976.00,455.00,-59635976.00,455.00
246521,1000.00,549.00,-59637349.00,451.00,-59637349.00,451.00
246526,1000.00,548.00,-59638700.00,452.00,-59638700.00,452.00
246532,1000.00,550.00,-59640060.00,450.00,-59640060.00,450.00
246537,1000.00,550.00,-59641410.00,450.00,-59641410.00,450.00
246543,1000.00,547.00,-59642754.00,453.00,-59642754.00,453.00
246548,1000.00,550.00,-59644119.00,450.00,-59644119.00,450.00
246553,1000.00,551.00,-59645471.00,449.00,-59645471.00,449.00
246559,1000.00,547.00,-59646810.00,453.00,-59646810.00,453.00
246564,1000.00,549.00,-59648173.00,451.00,-59648173.00,451.00
246570,1000.00,549.00,-59649526.00,451.00,-59649526.00,451.00
246575,1000.00,551.00,-59650883.00,449.00,-59650883.00,449.00
246580,1000.00,548.00,-59652224.00,452.00,-59652224.00,452.00
246586,1000.00,548.00,-59653580.00,452.00,-59653580.00,452.00
246591,1000.00,549.00,-59654938.00,451.00,-59654938.00,451.00
246597,1000.00,547.00,-59656287.00,453.00,-59656287.00,453.00
246602,1000.00,547.00,-59657646.00,453.00,-59657646.00,453.00
246607,1000.00,549.00,-59659009.00,451.00,-59659009.00,451.00
246613,1000.00,548.00,-59660360.00,452.00,-59660360.00,452.00
246618,1000.00,547.00,-59661714.00,453.00,-59661714.00,453.00
246624,1000.00,547.00,-59663073.00,453.00,-59663073.00,453.00
246629,1000.00,548.00,-59664434.00,452.00,-59664434.00,452.00
246634,1000.00,548.00,-59665790.00,452.00,-59665790.00,452.00
246640,1000.00,546.00,-59667142.00,454.00,-59667142.00,454.00
246645,1000.00,550.00,-59668512.00,450.00,-59668512.00,450.00
246651,1000.00,545.00,-59669852.00,455.00,-59669852.00,455.00
246656,1000.00,549.00,-59671225.00,451.00,-59671225.00,451.00
