Setpoint,Input,Output,CurrentError,previousSignal,previousError
4000.00,1846.00,3899.00,2154.00,-659622.00,2154.00
4000.00,1847.00,3898.00,2153.00,-666086.00,2153.00
4000.00,1848.00,3897.00,2152.00,-672547.00,2152.00
4000.00,1848.00,3896.00,2152.00,-679003.00,2152.00
4000.00,1849.00,3895.00,2151.00,-685461.00,2151.00
4000.00,1846.00,3894.00,2154.00,-691908.00,2154.00
4000.00,1846.00,3893.00,2154.00,-698370.00,2154.00
4000.00,1844.00,3892.00,2156.00,-704828.00,2156.00
4000.00,1846.00,3891.00,2154.00,-711300.00,2154.00
4000.00,1844.00,3890.00,2156.00,-717758.00,2156.00
4000.00,1845.00,3889.00,2155.00,-724228.00,2155.00
4000.00,1844.00,3888.00,2156.00,-730691.00,2156.00
4000.00,1843.00,3887.00,2157.00,-737157.00,2157.00
4000.00,1844.00,3886.00,2156.00,-743630.00,2156.00
4000.00,1844.00,3885.00,2156.00,-750098.00,2156.00
4000.00,1844.00,3884.00,2156.00,-756566.00,2156.00
4000.00,1843.00,3883.00,2157.00,-763032.00,2157.00
4000.00,1842.00,3882.00,2158.00,-769501.00,2158.00
4000.00,1842.00,3881.00,2158.00,-775975.00,2158.00
4000.00,1841.00,3880.00,2159.00,-782447.00,2159.00
4000.00,1842.00,3879.00,2158.00,-788926.00,2158.00
4000.00,1843.00,3878.00,2157.00,-795402.00,2157.00
4000.00,1843.00,3877.00,2157.00,-801873.00,2157.00
4000.00,1843.00,3876.00,2157.00,-808344.00,2157.00
4000.00,1842.00,3875.00,2158.00,-814813.00,2158.00
4000.00,1841.00,3874.00,2159.00,-821285.00,2159.00
4000.00,1845.00,3873.00,2155.00,-827770.00,2155.00
4000.00,1844.00,3872.00,2156.00,-834233.00,2156.00
4000.00,1800.00,3871.00,2200.00,-840613.00,2200.00
4000.00,1843.00,3870.00,2157.00,-847299.00,2157.00
4000.00,1841.00,3869.00,2159.00,-853766.00,2159.00
4000.00,1842.00,3868.00,2158.00,-860245.00,2158.00
4000.00,1843.00,3867.00,2157.00,-866721.00,2157.00
4000.00,1843.00,3866.00,2157.00,-873192.00,2157.00
4000.00,1842.00,3865.00,2158.00,-879661.00,2158.00
4000.00,1843.00,3864.00,2157.00,-886137.00,2157.00
