Setpoint,Input,Output,CurrentError,previousSignal,previousError
4000.00,1796.00,3563.00,2204.00,-2860655.00,2204.00
4000.00,1797.00,3562.00,2203.00,-2867269.00,2203.00
4000.00,1798.00,3561.00,2202.00,-2873880.00,2202.00
4000.00,1798.00,3560.00,2202.00,-2880486.00,2202.00
4000.00,1796.00,3559.00,2204.00,-2887088.00,2204.00
4000.00,1796.00,3558.00,2204.00,-2893700.00,2204.00
4000.00,1797.00,3557.00,2203.00,-2900314.00,2203.00
4000.00,1795.00,3556.00,2205.00,-2906919.00,2205.00
4000.00,1794.00,3555.00,2206.00,-2913532.00,2206.00
4000.00,1797.00,3554.00,2203.00,-2920156.00,2203.00
4000.00,1791.00,3553.00,2209.00,-2926753.00,2209.00
4000.00,1796.00,3552.00,2204.00,-2933390.00,2204.00
4000.00,1797.00,3551.00,2203.00,-2940004.00,2203.00
4000.00,1797.00,3550.00,2203.00,-2946613.00,2203.00
4000.00,1796.00,3549.00,2204.00,-2953220.00,2204.00
4000.00,1798.00,3548.00,2202.00,-2959836.00,2202.00
4000.00,1797.00,3547.00,2203.00,-2966440.00,2203.00
4000.00,1795.00,3546.00,2205.00,-2973045.00,2205.00
4000.00,1794.00,3545.00,2206.00,-2979658.00,2206.00
4000.00,1794.00,3544.00,2206.00,-2986276.00,2206.00
4000.00,1797.00,3543.00,2203.00,-2992900.00,2203.00
